2019-09-18 13:07:37,069  root       DEBUG   Importing module [programy.parser.pattern.nodes.oneormore]
2019-09-18 13:07:37,069  root       DEBUG   Instantiating class [PatternOneOrMoreWildCardNode]
2019-09-18 13:07:37,069  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.topic.PatternTopicNode]
2019-09-18 13:07:37,069  root       DEBUG   Processor path [programy.parser.pattern.nodes.topic.PatternTopicNode]
2019-09-18 13:07:37,069  root       DEBUG   Importing module [programy.parser.pattern.nodes.topic]
2019-09-18 13:07:37,069  root       DEBUG   Instantiating class [PatternTopicNode]
2019-09-18 13:07:37,070  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.that.PatternThatNode]
2019-09-18 13:07:37,070  root       DEBUG   Processor path [programy.parser.pattern.nodes.that.PatternThatNode]
2019-09-18 13:07:37,070  root       DEBUG   Importing module [programy.parser.pattern.nodes.that]
2019-09-18 13:07:37,070  root       DEBUG   Instantiating class [PatternThatNode]
2019-09-18 13:07:37,070  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.template.PatternTemplateNode]
2019-09-18 13:07:37,070  root       DEBUG   Processor path [programy.parser.pattern.nodes.template.PatternTemplateNode]
2019-09-18 13:07:37,070  root       DEBUG   Importing module [programy.parser.pattern.nodes.template]
2019-09-18 13:07:37,071  root       DEBUG   Instantiating class [PatternTemplateNode]
2019-09-18 13:07:37,071  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.zeroormore.PatternZeroOrMoreWildCardNode]
2019-09-18 13:07:37,071  root       DEBUG   Processor path [programy.parser.pattern.nodes.zeroormore.PatternZeroOrMoreWildCardNode]
2019-09-18 13:07:37,072  root       DEBUG   Importing module [programy.parser.pattern.nodes.zeroormore]
2019-09-18 13:07:37,072  root       DEBUG   Instantiating class [PatternZeroOrMoreWildCardNode]
2019-09-18 13:07:37,072  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.set.PatternSetNode]
2019-09-18 13:07:37,072  root       DEBUG   Processor path [programy.parser.pattern.nodes.set.PatternSetNode]
2019-09-18 13:07:37,072  root       DEBUG   Importing module [programy.parser.pattern.nodes.set]
2019-09-18 13:07:37,073  root       DEBUG   Instantiating class [PatternSetNode]
2019-09-18 13:07:37,073  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.bot.PatternBotNode]
2019-09-18 13:07:37,073  root       DEBUG   Processor path [programy.parser.pattern.nodes.bot.PatternBotNode]
2019-09-18 13:07:37,073  root       DEBUG   Importing module [programy.parser.pattern.nodes.bot]
2019-09-18 13:07:37,074  root       DEBUG   Instantiating class [PatternBotNode]
2019-09-18 13:07:37,074  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.iset.PatternISetNode]
2019-09-18 13:07:37,074  root       DEBUG   Processor path [programy.parser.pattern.nodes.iset.PatternISetNode]
2019-09-18 13:07:37,074  root       DEBUG   Importing module [programy.parser.pattern.nodes.iset]
2019-09-18 13:07:37,075  root       DEBUG   Instantiating class [PatternISetNode]
2019-09-18 13:07:37,075  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.regex.PatternRegexNode]
2019-09-18 13:07:37,075  root       DEBUG   Processor path [programy.parser.pattern.nodes.regex.PatternRegexNode]
2019-09-18 13:07:37,075  root       DEBUG   Importing module [programy.parser.pattern.nodes.regex]
2019-09-18 13:07:37,076  root       DEBUG   Instantiating class [PatternRegexNode]
2019-09-18 13:07:37,076  root       DEBUG   Loading nodes from file [storage\nodes\template_nodes.conf]
2019-09-18 13:07:37,077  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.base.TemplateNode]
2019-09-18 13:07:37,077  root       DEBUG   Processor path [programy.parser.template.nodes.base.TemplateNode]
2019-09-18 13:07:37,077  root       DEBUG   Importing module [programy.parser.template.nodes.base]
